"key","manufacturer","model","year","price","type","specialAccess","reward","specialOrigin","forzaEditionBoost","rarity","class","performanceIndex"
,"Abarth","124 Spider",2017,"43,500","Modern Sports Cars",,,,,"Rare","C",577
,"Abarth","695 Biposto",2016,"48,000","Hot Hatch",,,,,"Rare","B",607
,"Abarth","Fiat 131",1980,"38,000","Classic Rally",,,,,"Rare","D",449
,"Abarth","595 esseesse",1968,"35,000","Cult Cars",,,,,"Common","D",100
,"Acura","NSX",2017,"170,000","Modern Super Cars",,,,,"Rare","S1",850
,"Acura","RSX Type-S",2002,"25,000","Retro Hot Hatch",,,,,"Common","C",588
,"Acura","Integra Type-R",2001,"25,000","Retro Hot Hatch",,,,,"Common","C",596
,"Alfa Romeo","Stelvio Quadrifoglio",2018,"80,000","Sports Utility Heroes","DLC store","Free w/DLC","FH4 Car Pass",,"Common","A",752
,"Alfa Romeo","Giulia Quadrifoglio",2017,"120,000","Super Saloons",,"Loyalty Rewards",,,"Rare","A",795
,"Alfa Romeo","Giulia Quadrifoglio Forza Edition",2016,"370,000","Super Saloons","Exclusive","FP S8, Event S17.1",,"Event Influence","FE","S1",812
,"Alfa Romeo","4C",2014,"74,000","Modern Sports Cars",,,,,"Common","A",770
,"Alfa Romeo","8C Competizione Forza Edition",2007,"550,000","GT Cars","Exclusive","Wheelspin, S14.2 event, S19 Ranked",,"Credits","FE","S1",855
,"Alfa Romeo","8C Competizione",2007,"300,000","GT Cars",,,,,"Legendary","A",777
,"Alfa Romeo","33 Stradale",1968,"10,000,000","Classic Racers",,"Ranked (S19)",,,"Legendary","A",716
,"Alfa Romeo","Giulia TZ2",1965,"2,500,000","Classic Racers",,,,,"Legendary","B",639
,"Alfa Romeo","Giulia Sprint GTA Stradale",1965,"300,000","Rare Classics",,"Ranked (S4)",,,"Epic","D",432
,"Alfa Romeo","P3",1934,"10,000,000","Vintage Racers","Exclusive","Castle",,,"Legendary","B",626
,"Alpine","A110",2017,"250,000","Modern Sports Cars","Exclusive","FP S17","201912 Series 17",,"Epic","A",740
,"Alumi Craft","Class 10 Race Car",2015,"100,000","Offroad Buggies",,,,,"Epic","B",673
,"Alumi Craft","Class 10 Race Car Forza Edition",2015,"350,000","Offroad Buggies","Exclusive","S5 event",,"Destruction","FE","B",679
,"AMC","Gremlin X",1973,"35,000","Cult Cars",,,,,"Common","D",394
,"AMC","Javelin AMX",1971,"35,000","Classic Muscle",,,,,"Common","C",512
,"AMC","Rebel ""The Machine""",1970,"250,000","Classic Muscle","Exclusive","S10 event","201906 Series 10",,"Legendary","C",541
,"AMG TD","M12S Warthog CST",2554,"850,000","Extreme Offroad",,,,,"Legendary","A",756
,"Apollo","Intensa Emozione",2018,"1,050,000","Extreme Track Toys","Exclusive","S9 event","201905 Series 9",,"Legendary","S2",984
,"Ariel","Nomad",2016,"93,000","Offroad Buggies",,,,,"Epic","A",732
,"Ariel","Atom 500 V8",2013,"108,000","Extreme Track Toys","Exclusive","Horizon Life",,,"Epic","S2",970
,"Ascari","KZ1R",2012,"240,000","Modern Super Cars",,,,,"Legendary","S1",866
,"Aston Martin","DBS Superleggera",2019,"250,000","Super GT","Exclusive","S12","201908 Series 12",,"Epic","S1",853
,"Aston Martin","Vantage",2018,"430,000","Super GT","DLC store","Free w/DLC","FH4 Car Pass",,"Epic","S1",822
,"Aston Martin","Vulcan AMR Pro",2017,"1,500,000","Extreme Track Toys","Exclusive","S19.2 event","202002 Series 19",,"Epic","S2",954
,"Aston Martin","DB11 PreOrder Car",2017,"300,000","Super GT","DLC promo","Free w/DLC","FH4 Retail Bonus",,"Epic","S1",900
,"Aston Martin","Vanquish Zagato Coupe",2017,"250,000","Super GT","Exclusive","S12","201908 Series 12",,"Epic","S1",824
,"Aston Martin","DB11",2017,"300,000","Super GT",,,,,"Epic","S1",810
,"Aston Martin","Vulcan",2016,"1,500,000","Extreme Track Toys",,,,,"Legendary","S2",954
,"Aston Martin","Vulcan Forza Edition",2016,"1,750,000","Extreme Track Toys","Exclusive","Ranked S1, S4",,"Clean Skills","FE","S2",955
,"Aston Martin","Vantage GT12",2016,"400,000","Track Toys",,,,,"Epic","S1",846
,"Aston Martin","V12 Vantage S",2013,"240,000","Super GT",,,,,"Rare","S1",814
,"Aston Martin","Vanquish",2012,"348,000","Super GT",,,,,"Epic","S1",802
,"Aston Martin","One-77",2010,"1,400,000","Super GT",,,,,"Legendary","S1",863
,"Aston Martin","DB5",1964,"800,000","Rare Classics",,,,,"Epic","C",534
,"Aston Martin","DB4 GT Zagato",1960,"500,000","Classic Sports Cars","Exclusive","Barn Find (Seasonal)",,,"Legendary","B",619
,"Aston Martin","DBR1",1958,"10,000,000","Classic Racers",,,,,"Legendary","B",688
,"ATS","GT",2018,"250,000","Modern Super Cars","Exclusive","S16.3 Playlist","201911 Series 16",,"Epic","S1",894
,"Audi","R8 V10 plus",2016,"242,000","Modern Super Cars",,,,,"Legendary","S1",856
,"Audi","RS 6 Avant",2015,"150,000","Super Saloons",,,,,"Epic","A",778
,"Audi","TTS Coupe",2015,"52,000","Modern Sports Cars",,,,,"Rare","A",740
,"Audi","S1",2015,"35,000","Hot Hatch",,,,,"Rare","B",679
,"Audi","R8 Coupe V10 plus 5.2 FSI quattro",2013,"290,000","Modern Super Cars",,,,,"Rare","S1",824
,"Audi","RS 7 Sportback",2013,"225,000","Super Saloons",,,,,"Legendary","A",761
,"Audi","RS 4 Avant",2013,"83,000","Super Saloons",,,,,"Epic","A",750
,"Audi","RS 5 Coupe",2011,"88,000","Super Saloons",,,,,"Epic","A",750
,"Audi","RS 3 Sportback",2011,"42,000","Super Hot Hatch",,,,,"Rare","B",699
,"Audi","TT RS Coupe",2010,"66,000","Modern Sports Cars","Exclusive","Wheelspin, S10 event",,,"Epic","A",722
,"Audi","RS 6",2009,"155,000","Super Saloons",,,,,"Epic","A",743
,"Audi","RS 4",2006,"53,000","Super Saloons",,,,,"Epic","A",729
,"Audi","RS 6",2003,"105,000","Retro Saloons",,,,,"Epic","A",710
,"Audi","RS 4 Avant",2001,"94,000","Retro Saloons",,,,,"Epic","B",695
,"Audi","RS 2 Avant",1995,"50,000","Retro Saloons",,,,,"Rare","B",616
,"Audi","#2 Audi Sport quattro S1",1986,"375,000","Rally Monsters",,,,,"Epic","S1",850
,"Audi","Sport quattro",1983,"175,000","Retro Rally","Exclusive","Barn Find",,,"Legendary","B",621
,"Austin","FX4 Taxi",1964,"20,000","Cult Cars","Exclusive","Wheelspin, Story, S5 Gift",,,"Common","D",100
,"Austin-Healey","3000 MkIII",1965,"50,000","Classic Sports Cars",,,,,"Rare","D",326
